index,Name,Category,Phone,Avg_review,Reviews,Maps_url
59,GV Mall Amalapuram,Shopping mall,087422 55457,4.7,"1,476",https://www.google.com/maps/place/GV+Mall+Amalapuram/data=!4m7!3m6!1s0x3a37efc7f76df11f:0x84159ff056f01e44!8m2!3d16.5764669!4d82.0025177!16s%2Fg%2F11y27z550t!19sChIJH_Ft98fvNzoRRB7wVvCfFYQ?authuser=0&hl=en&rclk=1
60,Sree Veerabhadra Swamy Shopping Mall,Shopping mall,088974 91541,3.8,802,https://www.google.com/maps/place/Sree+Veerabhadra+Swamy+Shopping+Mall/data=!4m7!3m6!1s0x3bb372172f7c36ef:0x18e778127a522fe0!8m2!3d14.4811071!4d78.8231841!16s%2Fg%2F1td2sbf6!19sChIJ7zZ8LxdyszsR4C9SehJ45xg?authuser=0&hl=en&rclk=1
61,South India Shopping Mall Kadapa,Shopping mall,1800 570 0999,4.0,255,https://www.google.com/maps/place/South+India+Shopping+Mall+Kadapa/data=!4m7!3m6!1s0x3bb3731466d80423:0x5786d9f373d0c0b2!8m2!3d14.4632386!4d78.8316153!16s%2Fg%2F11v65375vq!19sChIJIwTYZhRzszsRssDQc_PZhlc?authuser=0&hl=en&rclk=1
62,"KLM Fashion Mall, Nellore",Shopping mall,090302 60666,4.0,"2,306","https://www.google.com/maps/place/KLM+Fashion+Mall,+Nellore/data=!4m7!3m6!1s0x3a4c8cc99ea7f257:0x166d1a4c4e413be3!8m2!3d14.4516205!4d79.9834603!16s%2Fg%2F11f55450xg!19sChIJV_KnnsmMTDoR4ztBTkwabRY?authuser=0&hl=en&rclk=1"
63,Lalitha MegaMall,Shopping mall,,4.0,"1,008",https://www.google.com/maps/place/Lalitha+MegaMall/data=!4m7!3m6!1s0x3bb41cac1ac11fc5:0x88d73997ef3b3bf6!8m2!3d14.9076613!4d78.0130441!16s%2Fg%2F11c38dr3ss!19sChIJxR_BGqwctDsR9js775c514g?authuser=0&hl=en&rclk=1
64,Raji Secar SQUARE Malls,Outlet mall,,4.2,190,https://www.google.com/maps/place/Raji+Secar+SQUARE+Malls/data=!4m7!3m6!1s0x3bb373947f7f6b07:0x81576709bbff27e3!8m2!3d14.4653774!4d78.823575!16s%2Fg%2F11tdr6y15_!19sChIJB2t_f5RzszsR4yf_uwlnV4E?authuser=0&hl=en&rclk=1
65,JC MALL  RAJAHMUNDRY,Shopping mall,,4.5,147,https://www.google.com/maps/place/JC+MALL++RAJAHMUNDRY/data=!4m7!3m6!1s0x3a37a3979e120fbd:0x23ab920f6a07d0e5!8m2!3d17.0063892!4d81.7899436!16s%2Fg%2F11w7kk00mp!19sChIJvQ8SnpejNzoR5dAHagSqyM?authuser=0&hl=en&rclk=1
66,A.S.R. Mall,Shopping mall,090006 20727,4.9,27,https://www.google.com/maps/place/A.S.R.+Mall/data=!4m7!3m6!1s0x3bb64d25e8648883:0x4a2f4b8bb0e1c90a!8m2!3d15.62547!4d77.2754847!16s%2Fg%2F11g047_zh_!19sChIJg4hk6CVNtjsRCsnhsItLL0o?authuser=0&hl=en&rclk=1
67,South India Shopping Mall Anantapur,Shopping mall,077999 65656,4.5,611,https://www.google.com/maps/place/South+India+Shopping+Mall+Anantapur/data=!4m7!3m6!1s0x3bb14b616bdd8053:0x551d40fa1ba293fb!8m2!3d14.6800605!4d77.5984367!16s%2Fg%2F11y5dyw_bt!19sChIJU4Dda2FLsTsR5OiG_pAHVU?authuser=0&hl=en&rclk=1
68,P.M.R Shopping Mall,Shopping mall,098664 07769,3.9,133,https://www.google.com/maps/place/P.M.R+Shopping+Mall/data=!4m7!3m6!1s0x3bb2d49d9766e867:0x737f36c5075b8c6b!8m2!3d13.9590467!4d79.3500067!16s%2Fg%2F11b6pnhdvx!19sChIJZhml53UsjsRa4xbB8U2f3M?authuser=0&hl=en&rclk=1
69,Sajjas Grand Shopping Mall,Shopping mall,086442 25566,3.6,783,https://www.google.com/maps/place/Sajjas+Grand+Shopping+Mall/data=!4m7!3m6!1s0x3a4a060941103c49:0xce44fdb12be34d31!8m2!3d16.2385558!4d80.6497022!16s%2Fg%2F11fnw1dk_m!19sChIJSTwQQQkGSjoRMU3jK7H9RM4?authuser=0&hl=en&rclk=1
70,Ambica Fashion Mall,Outlet mall,091214 01601,4.3,414,https://www.google.com/maps/place/Ambica+Fashion+Mall/data=!4m7!3m6!1s0x3a4b019bfc74861f:0x47fec71e71124cb1!8m2!3d15.5134054!4d80.040222!16s%2Fg%2F11s5twnrt9!19sChIJH4Z0_JsBSzoRsUwScR7H_kc?authuser=0&hl=en&rclk=1
71,Chandana Brothers Shopping Mall,Shopping mall,088122 23388,3.9,"3,151",https://www.google.com/maps/place/Chandana+Brothers+Shopping+Mall/data=!4m7!3m6!1s0x3a3614d06f10e77d:0x4768237a114df9f1!8m2!3d16.709815!4d81.1105812!16s%2Fg%2F11rst6klg!19sChIJfecQb9AUNjoR8flNEXojaEc?authuser=0&hl=en&rclk=1
72,ASRITHA FASHION MALL,Shopping mall,,4.5,170,https://www.google.com/maps/place/ASRITHA+FASHION+MALL/data=!4m7!3m6!1s0x3a4a75bb200458d9:0xfb85c1a196e01877!8m2!3d16.3085945!4d80.434381!16s%2Fg%2F11k9flzdyh!19sChIJ2VgEILt1SjoRdxjglqHBhfs?authuser=0&hl=en&rclk=1
73,Vasant Shopping Mall,Shopping mall,,3.9,143,https://www.google.com/maps/place/Vasant+Shopping+Mall/data=!4m7!3m6!1s0x3bb6e56381d1ac53:0xc513d7998bb8bcf6!8m2!3d15.1655321!4d77.3768109!16s%2Fg%2F11f9frk98j!19sChIJU6zRgWPltjsR9ry4i5nXE8U?authuser=0&hl=en&rclk=1
74,Kotiees Shopping Mall,Shopping mall,092470 40662,3.8,882,https://www.google.com/maps/place/Kotiees+Shopping+Mall/data=!4m7!3m6!1s0x3a4b01a9fdb9689d:0xe81b31f880f13b4e!8m2!3d15.5096612!4d80.0474546!16s%2Fg%2F11bt_gcg_2!19sChIJnWi5_akBSzoRTjvxgPgxGg?authuser=0&hl=en&rclk=1
75,SHABBER MALL,Shopping mall,095508 49490,4.3,58,https://www.google.com/maps/place/SHABBER+MALL/data=!4m7!3m6!1s0x3bb3736cc33a857f:0x5d987c3c76802a2f!8m2!3d14.480556!4d78.8242688!16s%2Fg%2F11pzrm0lbw!19sChIJf4U6w2xzszsRLyqAdjx8mF0?authuser=0&hl=en&rclk=1
76,V square mall,Shopping mall,,4.6,103,https://www.google.com/maps/place/V+square+mall/data=!4m7!3m6!1s0x3a396fed0fe647b9:0x894bc471d323a2c7!8m2!3d17.6870901!4d83.1374556!16s%2Fg%2F11jyw5ztm2!19sChIJuUfmD1vOToRx6Ij03HES4k?authuser=0&hl=en&rclk=1
77,H.A.S Friends Mall,Shopping mall,094937 54433,4.4,85,https://www.google.com/maps/place/H.A.S+Friends+Mall/data=!4m7!3m6!1s0x3bb41d0d83e6b6e9:0x9a3041c13de70b77!8m2!3d14.9055801!4d78.0117089!16s%2Fg%2F11qg3k3rv9!19sChIJ6bbmgw0dtDsRdwvnPcFBMJo?authuser=0&hl=en&rclk=1
78,City Shopping Mall,Shopping mall,090144 39988,3.8,159,https://www.google.com/maps/place/City+Shopping+Mall/data=!4m7!3m6!1s0x3a3c151b29ad60af:0xbd1c733942da3ccf!8m2!3d18.2953222!4d83.8972705!16s%2Fg%2F11bxdlzw6p!19sChIJr2CtKRsVPDoRzzzaQjlzHL0?authuser=0&hl=en&rclk=1
79,Mangalya Shopping Mall,Shopping mall,,3.8,769,https://www.google.com/maps/place/Mangalya+Shopping+Mall/data=!4m7!3m6!1s0x3bb373402ee615eb:0x18be6d3e9c2b11ef!8m2!3d14.4644359!4d78.8321849!16s%2Fg%2F11h6gpwc7h!19sChIJ6xXmLkBzszsR7xErnD5tvhg?authuser=0&hl=en&rclk=1
80,Dreams Shopping Mall,Shopping mall,,3.5,72,https://www.google.com/maps/place/Dreams+Shopping+Mall/data=!4m7!3m6!1s0x3a354d99d11ea137:0xc2cd20704613cbf8!8m2!3d16.4751875!4d79.4362911!16s%2Fg%2F11gf97n17j!19sChIJN6Ee0ZlNNToRMsTRnAgzcI?authuser=0&hl=en&rclk=1
81,Sri Satya Shopping Mall,Shopping mall,,3.7,26,https://www.google.com/maps/place/Sri+Satya+Shopping+Mall/data=!4m7!3m6!1s0x3a37a3ec7a4077ed:0xd68d31e23d553aa2!8m2!3d17.0100479!4d81.794678!16s%2Fg%2F11ckpyn28t!19sChIJ7XdAeuyjNzoRojpVPeIxjdY?authuser=0&hl=en&rclk=1
82,Jagadeesh Shopping Mall,Shopping mall,094402 90344,4.0,219,https://www.google.com/maps/place/Jagadeesh+Shopping+Mall/data=!4m7!3m6!1s0x3bb5ddeb7f383de7:0xf47d9b01cb7549d9!8m2!3d15.8066444!4d78.0392594!16s%2Fg%2F11clycch4v!19sChIJ5z04fvdtTsR2Ul1ywGbffQ?authuser=0&hl=en&rclk=1
83,Y 5 mall Guntur,Shopping mall,,4.4,71,https://www.google.com/maps/place/Y+5+mall+Guntur/data=!4m7!3m6!1s0x3a4a7540acfac0cd:0x76babd9fbf208f94!8m2!3d16.3138861!4d80.4192663!16s%2Fg%2F11rd9_syzm!19sChIJzcD6rEB1SjoRlI8gv59unY?authuser=0&hl=en&rclk=1
84,The Chennai Shopping Mall  Guntur,Shopping mall,040 2233 3333,3.9,"3,405",https://www.google.com/maps/place/The+Chennai+Shopping+Mall++Guntur/data=!4m7!3m6!1s0x3a4a755c9523cf47:0x49967195d9996209!8m2!3d16.3073356!4d80.4368419!16s%2Fg%2F11f2lphc07!19sChIJR88jlVx1SjoRCWKZ2ZVxlkk?authuser=0&hl=en&rclk=1
85,Dress Circle Shopping Mall Kurnool,Shopping mall,088869 89992,4.6,"5,078",https://www.google.com/maps/place/Dress+Circle+Shopping+Mall+Kurnool/data=!4m7!3m6!1s0x3bb5e75e7e8acbdf:0xdfb6c5c0e127d28f!8m2!3d15.8302411!4d78.0397506!16s%2Fg%2F124yjglmk!19sChIJ38uKfl7ntTsRj9In4cDFtt8?authuser=0&hl=en&rclk=1
86,TJ Shopping Mall,Shopping mall,097311 05990,3.9,"2,908",https://www.google.com/maps/place/TJ+Shopping+Mall/data=!4m7!3m6!1s0x3bb5e75da54664a5:0xaf3725312135118b!8m2!3d15.8333333!4d78.0402778!16s%2Fg%2F124ycxz5g!19sChIJpWRGpV3ntTsRixE1ITElN68?authuser=0&hl=en&rclk=1
87,Sree Veerabhadra swamy Shopping Mall,Shopping mall,079979 01111,3.8,551,https://www.google.com/maps/place/Sree+Veerabhadra+swamy+Shopping+Mall/data=!4m7!3m6!1s0x3bb5ad56e5328e77:0xa7d8a9f3886b3df9!8m2!3d15.4876294!4d78.478775!16s%2Fg%2F11fzf88ly2!19sChIJd44y5VattTsRT1riPOp2Kc?authuser=0&hl=en&rclk=1
88,Garuda Mall,Shopping mall,,4.3,52,https://www.google.com/maps/place/Garuda+Mall/data=!4m7!3m6!1s0x3a4d4b162164d217:0xad1d8d3c93f5b5db!8m2!3d13.6453776!4d79.4382313!16s%2Fg%2F11m9sw57wm!19sChIJF9JkIRZLTToR27X1kzyNHa0?authuser=0&hl=en&rclk=1
89,K.R.R Shopping Mall,Shopping mall,094930 43438,3.8,166,https://www.google.com/maps/place/K.R.R+Shopping+Mall/data=!4m7!3m6!1s0x3a36133f4388a3c1:0xb35911e05b16bc2a!8m2!3d16.699397!4d81.0524172!16s%2Fg%2F1q5gn9zgw!19sChIJwaOIQz8TNjoRKrwWWARWbM?authuser=0&hl=en&rclk=1
90,South India Shopping MallNellore,Shopping mall,077999 65656,3.9,"2,302",https://www.google.com/maps/place/South+India+Shopping+MallNellore/data=!4m7!3m6!1s0x3a4c8ccd2fffffff:0xd455cbe10b14ede9!8m2!3d14.4453302!4d79.9794899!16s%2Fg%2F11gdtqc70x!19sChIJ____L82MTDoR6e0UCHLVdQ?authuser=0&hl=en&rclk=1
91,VSN mall,Shopping mall,,3.9,51,https://www.google.com/maps/place/VSN+mall/data=!4m7!3m6!1s0x3a35fbae6e46498b:0x5c54633b50548fa4!8m2!3d16.5013013!4d80.656414!16s%2Fg%2F11sfft1kk7!19sChIJi0lGbq77NToRpI9UUDtjVFw?authuser=0&hl=en&rclk=1
92,Municipal Shopping Mall,Shopping mall,,3.6,197,https://www.google.com/maps/place/Municipal+Shopping+Mall/data=!4m7!3m6!1s0x3bb14adb38156949:0xc3603387ba041582!8m2!3d14.6812288!4d77.597126!16s%2Fg%2F11b6rfjql2!19sChIJSWkVONtKsTsRghUEuoczYMM?authuser=0&hl=en&rclk=1
93,Skanda shopping mall,Shopping mall,092469 22665,4.0,"1,123",https://www.google.com/maps/place/Skanda+shopping+mall/data=!4m7!3m6!1s0x3bb5e7614a1a48e3:0x88a4e7a515e469ed!8m2!3d15.8313054!4d78.0473287!16s%2Fg%2F1q660h36_!19sChIJ40gaSmHntTsR7WnkFaXnpIg?authuser=0&hl=en&rclk=1
94,KSP Prime,Shopping mall,,4.1,"4,616",https://www.google.com/maps/place/KSP+Prime/data=!4m7!3m6!1s0x3a4a7549baf156ad:0xca616fe801118bda!8m2!3d16.2968283!4d80.4475356!16s%2Fg%2F11ggvslyy5!19sChIJrVbxukl1SjoR2osRAehvYco?authuser=0&hl=en&rclk=1
95,"Subhamastu Shopping Mall, Nellore",Shopping mall,0861 235 9597,3.9,"3,829","https://www.google.com/maps/place/Subhamastu+Shopping+Mall,+Nellore/data=!4m7!3m6!1s0x3a4c8ccb9fbfd3f3:0x4ee5608acbd7ab08!8m2!3d14.447651!4d79.9819249!16s%2Fg%2F11clsgh8ty!19sChIJ89O_n8uMTDoRCKvXy4pg5U4?authuser=0&hl=en&rclk=1"
96,Zero Max The Family Shopping Mall,Shopping mall,089194 98576,4.4,104,https://www.google.com/maps/place/Zero+Max+The+Family+Shopping+Mall/data=!4m7!3m6!1s0x3bb5e75dd404016b:0x4be9825cdae84e4b!8m2!3d15.8313352!4d78.0397834!16s%2Fg%2F11gf8d_qyr!19sChIJawEE1F3ntTsRS07o2lyC6Us?authuser=0&hl=en&rclk=1
97,SOUTH CENTER Shopping Mall,Shopping mall,,3.9,74,https://www.google.com/maps/place/SOUTH+CENTER+Shopping+Mall/data=!4m7!3m6!1s0x3bb5e7de36035ee9:0x4262aaa672b81d1f!8m2!3d15.8299202!4d78.0398634!16s%2Fg%2F11fl8zv3rj!19sChIJ6V4DNt7ntTsRHx24cqaqYkI?authuser=0&hl=en&rclk=1
98,South India Shopping,Shopping mall,090665 60560,4.3,212,https://www.google.com/maps/place/South+India+Shopping/data=!4m7!3m6!1s0x3a4a757f36238cd7:0xdc53f0316144d4ea!8m2!3d16.2931092!4d80.4489494!16s%2Fg%2F11svj13vxf!19sChIJ14wjNn91SjoR6tREYTHwU9w?authuser=0&hl=en&rclk=1
99,Lucky shopping mall,Shopping mall,,3.9,"3,217",https://www.google.com/maps/place/Lucky+shopping+mall/data=!4m7!3m6!1s0x3a3969a928a3ef15:0xd603e3ce93f22e8a!8m2!3d17.6855013!4d83.2125688!16s%2Fg%2F11g6wzsv9y!19sChIJFejKKlpOToRii7yk87jA9Y?authuser=0&hl=en&rclk=1
100,MBR Shopping Mall,Shopping mall,091107 33948,4.2,237,https://www.google.com/maps/place/MBR+Shopping+Mall/data=!4m7!3m6!1s0x3a49e74f23fa6a59:0x309fa7fe35ef52aa!8m2!3d16.1830885!4d81.1326763!16s%2Fg%2F11r8vt697x!19sChIJWWr6I0_nSToRqlLvNf6nnzA?authuser=0&hl=en&rclk=1
101,Janjanam Shopping Mall,Shopping mall,,3.8,359,https://www.google.com/maps/place/Janjanam+Shopping+Mall/data=!4m7!3m6!1s0x3a4a441847aee009:0xf43e9ffaa5ead640!8m2!3d15.8272648!4d80.3562622!16s%2Fg%2F1260_bks1!19sChIJCeCuRxhESjoRQNbqpfqfPvQ?authuser=0&hl=en&rclk=1
102,Lucky Shopping Mall,Shopping mall,,3.9,139,https://www.google.com/maps/place/Lucky+Shopping+Mall/data=!4m7!3m6!1s0x3bb531cb4f300275:0x3ec0d29ad99996cc!8m2!3d15.7431546!4d79.2744909!16s%2Fg%2F11v67p30zp!19sChIJdQIwT8sxtTsRzJaZ2ZrSwD4?authuser=0&hl=en&rclk=1
103,Miniso Guntur,Outlet mall,081429 99499,4.0,310,https://www.google.com/maps/place/Miniso+Guntur/data=!4m7!3m6!1s0x3a4a75c4cedc84bb:0x8973ce982b5963ad!8m2!3d16.3120557!4d80.4259832!16s%2Fg%2F11n08g5n3s!19sChIJu4TczsR1SjoRrWNZK5jOc4k?authuser=0&hl=en&rclk=1
104,KLM Fashion mall,Shopping mall,,3.8,454,https://www.google.com/maps/place/KLM+Fashion+mall/data=!4m7!3m6!1s0x3a3969d0d5cdde21:0x68d022319a1b64b8!8m2!3d17.6853011!4d83.2114215!16s%2Fg%2F11rcx70d5j!19sChIJId7N1dBpOToRuGQbmjEi0Gg?authuser=0&hl=en&rclk=1
105,City Central,Shopping mall,,3.7,121,https://www.google.com/maps/place/City+Central/data=!4m7!3m6!1s0x3a4d4b0230a9c5cb:0xf584769640916859!8m2!3d13.6387197!4d79.4187598!16s%2Fg%2F1pyqm87b8!19sChIJy8WpMAJLTToRWWiRQJZ2hPU?authuser=0&hl=en&rclk=1
106,Gopi shopping mall tallarevu,Shopping mall,,4.1,27,https://www.google.com/maps/place/Gopi+shopping+mall+tallarevu/data=!4m7!3m6!1s0x3a38217f9a13026b:0x79acdcb9193d1349!8m2!3d16.7837987!4d82.2307313!16s%2Fg%2F11fn04mypf!19sChIJawITmn8hODoRSRM9GbncrHk?authuser=0&hl=en&rclk=1
107,Nakshatra,Shopping mall,,4.1,338,https://www.google.com/maps/place/Nakshatra/data=!4m7!3m6!1s0x3a37d2ab1741687d:0x41cbf1ce871b4064!8m2!3d16.5465402!4d81.5174742!16s%2Fg%2F11f40jjtv_!19sChIJfWhBF6vSNzoRZEAbh87xy0E?authuser=0&hl=en&rclk=1
108,Sreerasthu Shopping Mall,Shopping mall,096000 14874,3.9,117,https://www.google.com/maps/place/Sreerasthu+Shopping+Mall/data=!4m7!3m6!1s0x3bb35fa645c581f1:0xff36cac1488f10a6!8m2!3d14.7386067!4d79.0608435!16s%2Fg%2F11fxcg2wzf!19sChIJ8YHFRaZfszsRphCPSMHKNv8?authuser=0&hl=en&rclk=1
109,SOUTH INDIA SHOPPING MALL,Shopping mall,,4.8,977,https://www.google.com/maps/place/SOUTH+INDIA+SHOPPING+MALL/data=!4m7!3m6!1s0x3a37efd1c883b965:0x3b787d7e831997bf!8m2!3d16.5745469!4d82.0037412!16s%2Fg%2F11l5rlxp_j!19sChIJZbmDyNHvNzoRv5cZg359eDs?authuser=0&hl=en&rclk=1
110,Subhavastra shopping mall vinukonda,Shopping mall,,4.9,68,https://www.google.com/maps/place/Subhavastra+shopping+mall+vinukonda/data=!4m7!3m6!1s0x3a4abde45200ab59:0x10a84d042e7c678f!8m2!3d16.0522346!4d79.7398707!16s%2Fg%2F11vpf0mwz1!19sChIJWasAUuS9SjoRj2d8LgRNqBA?authuser=0&hl=en&rclk=1
111,Vijayawada Complex,Shopping mall,,3.8,194,https://www.google.com/maps/place/Vijayawada+Complex/data=!4m7!3m6!1s0x3a38280b9c124621:0x2ad982bfae29ed38!8m2!3d16.958201!4d82.233592!16s%2Fg%2F1pyqlh7l6!19sChIJIUYSnAsoODoROO0prrC2So?authuser=0&hl=en&rclk=1
112,Laka Shopping Mall,Shopping mall,094917 64999,4.0,34,https://www.google.com/maps/place/Laka+Shopping+Mall/data=!4m7!3m6!1s0x3a35faa9c64f1edf:0xb9055c9cb488b7cd!8m2!3d16.5438162!4d80.642368!16s%2Fg%2F11g00y1hms!19sChIJ3x5Pxqn6NToRzbeItJxcBbk?authuser=0&hl=en&rclk=1
113,"Subhamasthu Shopping Mall, Guntur",Shopping mall,,3.9,422,"https://www.google.com/maps/place/Subhamasthu+Shopping+Mall,+Guntur/data=!4m7!3m6!1s0x3a4a75ef04cf7541:0xc259ef220a26d8c6!8m2!3d16.3090994!4d80.4324319!16s%2Fg%2F11s860cqkk!19sChIJQXXPBO91SjoRxtgmCiLvWcI?authuser=0&hl=en&rclk=1"
114,"Subhamasthu Shopping Mall, Vijayawada",Shopping mall,063019 59305,3.8,"2,748","https://www.google.com/maps/place/Subhamasthu+Shopping+Mall,+Vijayawada/data=!4m7!3m6!1s0x3a35fba90b5abdf1:0x1583367c8c5bd4f!8m2!3d16.5045037!4d80.6348402!16s%2Fg%2F11fj5d_5q4!19sChIJ8b1aC6n7NToRT73FyGczWAE?authuser=0&hl=en&rclk=1"
115,GV Mall Tadepalligudem,Shopping mall,079897 96797,3.9,223,https://www.google.com/maps/place/GV+Mall+Tadepalligudem/data=!4m7!3m6!1s0x3a37b5542a4a3c5d:0x9b16a999cf6f9b01!8m2!3d16.8171733!4d81.5245192!16s%2Fg%2F11vdg0r2sh!19sChIJXTxKKlS1NzoRAZtvz5mpFps?authuser=0&hl=en&rclk=1
116,Kanaka Mahalakshmi shopping mall,Shopping mall,,4.3,34,https://www.google.com/maps/place/Kanaka+Mahalakshmi+shopping+mall/data=!4m7!3m6!1s0x3a395c08362d5c2d:0xe26cc1d4bacac849!8m2!3d17.8253768!4d83.3348919!16s%2Fg%2F11f08lqwkx!19sChIJLVwtNghcOToRScjKutTBbOI?authuser=0&hl=en&rclk=1
117,VEERABHADRA MALL WHOLESALE,Shopping mall,,4.0,36,https://www.google.com/maps/place/VEERABHADRA+MALL+WHOLESALE/data=!4m7!3m6!1s0x3bb5ad8c05ab49c9:0x14a6cbcedb1dab16!8m2!3d15.48338!4d78.4792022!16s%2Fg%2F11ph72bpwq!19sChIJyUmrBYyttTsRFqsd287LphQ?authuser=0&hl=en&rclk=1
118,STYLE BAAZAR PALASA,Shopping mall,091470 95636,4.8,336,https://www.google.com/maps/place/STYLE+BAAZAR+PALASA/data=!4m7!3m6!1s0x3a3d07071790ad0f:0x206e3651530bb58b!8m2!3d18.7681057!4d84.4176971!16s%2Fg%2F11tt6gg05k!19sChIJD62QFwcHPToRi7ULU1E2biA?authuser=0&hl=en&rclk=1
119,Mudhra Shopping Mall,Shopping mall,094944 67188,3.9,330,https://www.google.com/maps/place/Mudhra+Shopping+Mall/data=!4m7!3m6!1s0x3a35f13a275bbe1f:0xeb3f5f1ea42b1f27!8m2!3d16.4301626!4d80.5716608!16s%2Fg%2F11c5znqw96!19sChIJH75bJzrxNToRJx8rpB5fPs?authuser=0&hl=en&rclk=1
