"hlink","Name","Review","Count","Category","open_close","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","Phone","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2"
"https://www.google.com/maps/place/SRI+SANTHOSHI+MATHA+POOJA+SAMAGRI+STORES/data=!4m7!3m6!1s0x3bcb93bbc4d1628b:0x93201b0a92a842f8!8m2!3d17.4581523!4d78.3656285!16s%2Fg%2F11rn84l5mb!19sChIJi2LRxLuTyzsR-EKokgobIJM?authuser=0&hl=en&rclk=1","SRI SANTHOSHI MATHA POOJA SAMAGRI STORES","4.9","(1,188)","Religious goods store","·","","·","1-66/2, Kothaguda, x road, near Sharath city capital mall","Open","⋅ Closes 9:30 pm","093469 88491","https://lh5.googleusercontent.com/p/AF1QipOAwIhoNPW9vhhSKR1hg1sL8UL5rDAxUq7pa-Qz=w163-h92-k-no","In-store shopping","·","Kerbside pickup"
"https://www.google.com/maps/place/Sri+Tulja+Bhavani+Pooja+Stores/data=!4m7!3m6!1s0x3bcb995c40dbb02f:0xf23bfcf8679656fe!8m2!3d17.4240698!4d78.5473536!16s%2Fg%2F1pp2vgv6p!19sChIJL7DbQFyZyzsR_laWZ_j8O_I?authuser=0&hl=en&rclk=1","Sri Tulja Bhavani Pooja Stores","4.1","(47)","Religious goods store","·","","·","2, Nacharam - Mallapur Rd","Open","⋅ Closes 10 pm","","https://lh5.googleusercontent.com/p/AF1QipNvZEijm_X3eErlPTftjU26Nzh8liYjrRshSj6g=w163-h92-k-no","Delivery","",""
"https://www.google.com/maps/place/Tirumala+Pooja+Store/data=!4m7!3m6!1s0x3bcb9a18e9edd839:0x60e74f11a288dd5!8m2!3d17.435902!4d78.49614!16s%2Fg%2F124yqn7w0!19sChIJOdjt6RiayzsR1Y0oGvF0DgY?authuser=0&hl=en&rclk=1","Tirumala Pooja Store","4.5","(24)","Religious goods store","·","","·","Market Rd","Open","⋅ Closes 11 pm","097002 10846","https://lh5.googleusercontent.com/p/AF1QipNt0TUj-IePWf57yFijD1sTXCp8Nn8PHKI5cd8i=w80-h106-k-no","Delivery","",""
"https://www.google.com/maps/place/Sri+Santhoshi+Matha+Pooja+Samagri+Stores/data=!4m7!3m6!1s0x3bcb9396c3da07ad:0x92ed554f48b860bd!8m2!3d17.4737137!4d78.3636082!16s%2Fg%2F11sj7wyb1k!19sChIJrQfaw5aTyzsRvWC4SE9V7ZI?authuser=0&hl=en&rclk=1","Sri Santhoshi Matha Pooja Samagri Stores","5.0","(214)","Religious goods store","·","","H-1-110/A/92, Lane, beside Appollo Pharmacy","·","Open","⋅ Closes 10:30 pm","062814 30596","https://lh5.googleusercontent.com/p/AF1QipNzxBMtbp2EDb1l4bndcwugU9jxnMTtxzu3cikM=w123-h92-k-no","In-store shopping","·","Kerbside pickup"
"https://www.google.com/maps/place/Kalyan+Pooja+Gruha+%28Store%29/data=!4m7!3m6!1s0x3bcb99ce147b281d:0xefe27818873e551c!8m2!3d17.3884975!4d78.4877478!16s%2Fg%2F11bw4rxgjw!19sChIJHSh7FM6ZyzsRHFU-hxh44u8?authuser=0&hl=en&rclk=1","Kalyan Pooja Gruha (Store)","4.7","(6)","Religious goods store","·","","4-5-527, Opposite Police Station Sultan Bazar","·","Open","⋅ Closes 10 pm","090305 79397","https://lh3.googleusercontent.com/gps-proxy/ALd4DhGrGwYRol62UObmhB29Ow0bGL9yIIN3qW6EwFatuXXn91ncHL9sCiM61pnQyhZEvoCb3oWQxNDWciTXXzNuyUZbFB6tbseHirmEheYnYl7bi4UKNtLMijTBNAm1xu0ibakR-q8G3zHqZ3FDQqfsaq6OZBzBxO7atIOLUW4asg6K5A0V_zNj-9PRiGLkZOkkLWAUEBk=w163-h92-k-no","Delivery","",""
"https://www.google.com/maps/place/Sri+Venkateswara+Pooja+Samagri+Store/data=!4m7!3m6!1s0x3bcb97c7b6f9a70f:0xcb2395a653b55a03!8m2!3d17.3698378!4d78.3862247!16s%2Fg%2F11jcbfhb3r!19sChIJD6f5tseXyzsRA1q1U6aVI8s?authuser=0&hl=en&rclk=1","Sri Venkateswara Pooja Samagri Store","4.8","(47)","Home goods store","","","·","","Open","⋅ Closes 9 pm","098663 46038","https://lh5.googleusercontent.com/p/AF1QipPuqhqAoskItstkf778u2D128SLlMLKJHRqppFk=w80-h177-k-no","In-store shopping","·","Delivery"
"https://www.google.com/maps/place/Vedajanani+Pooja+Stores/data=!4m7!3m6!1s0x3bcb98cd9ad13305:0xac875396d719d180!8m2!3d17.3734015!4d78.5628682!16s%2Fg%2F11bydjxkq1!19sChIJBTPRms2YyzsRgNEZ15ZTh6w?authuser=0&hl=en&rclk=1","Vedajanani Pooja Stores","4.5","(300)","Store","·","","·","9HC7+X44, Plot No :36/A, Arunodaya Nagar Colony, Road No 3, Bandlaguda, Nagole","Open","⋅ Closes 9 pm","","https://lh5.googleusercontent.com/p/AF1QipPQmtnENTT2Cs9N7F1L0G7cgTZRttX4d_Gm-eWT=w122-h92-k-no","In-store pick-up","·","Delivery"
"https://www.google.com/maps/place/Sri+Yagnaa+Pooja+Samagri+Stores+Manikonda/data=!4m7!3m6!1s0x3bcb9778af184203:0x8956faa125e73a37!8m2!3d17.4073137!4d78.3887752!16s%2Fg%2F11qqgbjdd8!19sChIJA0IYr3iXyzsRNzrnJaH6Vok?authuser=0&hl=en&rclk=1","Sri Yagnaa Pooja Samagri Stores Manikonda","4.7","(137)","Religious goods store","·","","Besides Preetam Hospital, Lanco Hills Rd","·","Open","⋅ Closes 10 pm","091004 44933","https://lh5.googleusercontent.com/p/AF1QipMa4ADwaWqUWI31bSLMAjuV64ENDwCc4jhZZN2N=w163-h92-k-no","In-store shopping","·","Kerbside pickup"
"https://www.google.com/maps/place/SRI+SAI+POOJA+SAMAGRI/data=!4m7!3m6!1s0x3bcb90c8df927c91:0x2401f575b1206efb!8m2!3d17.4345981!4d78.4481078!16s%2Fg%2F11c139b981!19sChIJkXyS38iQyzsR-24gsXX1ASQ?authuser=0&hl=en&rclk=1","SRI SAI POOJA SAMAGRI","4.1","(947)","Religious goods store","·","","·","7- Oppite:- KANAKA DURGA TEMPLE 7-1, 165, Balkampet Rd","Open","⋅ Closes 9:30 pm","040 2374 5578","https://lh5.googleusercontent.com/p/AF1QipOU_Wp_p1-d91IyliCTuFQ2ZZq8gXxztQLgBeWb=w163-h92-k-no","Delivery","",""
"https://www.google.com/maps/place/Sai+Pooja+Stores/data=!4m7!3m6!1s0x3bcb9885333b8465:0x421569703c0d6fea!8m2!3d17.34718!4d78.531946!16s%2Fg%2F1q2vy85h1!19sChIJZYQ7M4WYyzsR6m8NPHBpFUI?authuser=0&hl=en&rclk=1","Sai Pooja Stores","4.4","(101)","Religious goods store","·","","Shop No-3, Sai Balaji Homes, Beside HP Gas Agency, Near Indra Nagendra Theatre Karmanghat","·","Open","⋅ Closes 9:30 pm","093932 44204","https://lh5.googleusercontent.com/p/AF1QipOe8ge2CaNA8vdUz2AqGKfWyyJjW-R6kfg3Dy-d=w122-h92-k-no","In-store pick-up","",""
"https://www.google.com/maps/place/Sri+Rudra+Pooja+Store,+Nacharam/data=!4m7!3m6!1s0x3bcb995cb83e5da1:0x7d16e8f86183cf9d!8m2!3d17.4296733!4d78.552676!16s%2Fg%2F11stvrrqj8!19sChIJoV0-uFyZyzsRnc-DYfjoFn0?authuser=0&hl=en&rclk=1","Sri Rudra Pooja Store, Nacharam","4.9","(506)","Religious goods store","·","","Nacharam - Mallapur Rd","·","Open","⋅ Closes 9 pm","089260 23456","https://lh5.googleusercontent.com/p/AF1QipNR9e5R3uLL1v5hRe84dNdjsHRnPqXk9DynmwXG=w122-h92-k-no","Delivery","",""
"https://www.google.com/maps/place/Sri+Yagnaa+Pooja+Samagri+Stores+Ameerpet/data=!4m7!3m6!1s0x3bcb9143f6a1453d:0x1c0e9976834fff81!8m2!3d17.4297598!4d78.4462349!16s%2Fg%2F11h8j4j2hl!19sChIJPUWh9kORyzsRgf9Pg3aZDhw?authuser=0&hl=en&rclk=1","Sri Yagnaa Pooja Samagri Stores Ameerpet","4.9","(77)","Religious goods store","·","","H.no:8-2, 1/6/B, Srinagar Colony Main Rd, opp. Axis Bank","·","Open","⋅ Closes 9:30 pm","091004 44933","https://lh5.googleusercontent.com/p/AF1QipNNOSYoARVeUDXalaXNuGdF8074kv8aQY5o_gde=w80-h106-k-no","In-store shopping","·","Kerbside pickup"
"https://www.google.com/maps/place/Sri+Balaji+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb926c437fce9f:0x32d73eaf9ae50fd9!8m2!3d17.497999!4d78.357743!16s%2Fg%2F12qhgtxq2!19sChIJn85_Q2ySyzsR2Q_lmq8-1zI?authuser=0&hl=en&rclk=1","Sri Balaji Pooja Samagri","4.7","(205)","Religious goods store","·","","·","X ROADS, opp. Hanuman Temple Road","Open","⋅ Closes 10 pm","077801 27448","https://lh5.googleusercontent.com/p/AF1QipNdfv2ks_U5IPxS_DBC1AlqbPF5LnStHzID-1wk=w163-h92-k-no","In-store pick-up","·","Delivery"
"https://www.google.com/maps/place/Sri+Guru+Datta+Pooja+Stores/data=!4m7!3m6!1s0x3bcb9ac67695e8cb:0xeda5b47fdabd1a85!8m2!3d17.5081376!4d78.504059!16s%2Fg%2F11gfm9y8lf!19sChIJy-iVdsaayzsRhRq92n-0pe0?authuser=0&hl=en&rclk=1","Sri Guru Datta Pooja Stores","4.2","(115)","Religious goods store","·","","5-29/1/4, Sri Laxmi Nagar colony, opp. to Yati House Restaurant (Aahar Restaurant, near Indira Gandhi Statue","·","Open","⋅ Closes 9:30 pm","090525 33555","https://lh5.googleusercontent.com/p/AF1QipMObDHWJu49A92i_r4jYMNO_UgTGmKd2JZm1bH0=w122-h92-k-no","Delivery","",""
"https://www.google.com/maps/place/Sri+Gayatri+Pooja+Stores/data=!4m7!3m6!1s0x3bcb91f2ba21c89f:0x9328fb123335217d!8m2!3d17.4949723!4d78.3958167!16s%2Fg%2F11cpftk449!19sChIJn8ghuvKRyzsRfSE1MxL7KJM?authuser=0&hl=en&rclk=1","Sri Gayatri Pooja Stores","4.0","(1,139)","Religious goods store","·","","·","main gate, Mig 48, beside icici bank, opp. jntu","Open","⋅ Closes 10 pm","097017 02827","https://lh5.googleusercontent.com/p/AF1QipNI8-CapoAIrh6QYUQoXgXhaW4PbUuAMJfgyBdh=w163-h92-k-no","Delivery","",""
"https://www.google.com/maps/place/A.+Narsing+Rao+Pooja+Samagri+Stores/data=!4m7!3m6!1s0x3bcb9741333a2079:0x75048092b8ac5397!8m2!3d17.4088728!4d78.4566276!16s%2Fg%2F1ptx0l2y5!19sChIJeSA6M0GXyzsRl1OsuJKABHU?authuser=0&hl=en&rclk=1","A. Narsing Rao Pooja Samagri Stores","4.1","(18)","Religious goods store","·","","10-1, 327, Street Number 7","·","Open","⋅ Closes 9:30 pm","092475 82076","https://lh3.googleusercontent.com/gps-proxy/ALd4DhEJweQZs0zqdXJT5jpVfKCUE2Rdw8IN19MTvFB2QyldOSnPgmLXDh8yWnNqEtAe-Myk2Bwz8DrglJl5dYYhX0L02CJYwW8oZ3ZklOco-znmfNLx46u2NxOmRJr6WUD3-uu-i4NYpC1ONm2gFBH-rRDTeSo5K0I1ZE_S7bZLL_WFQOaQwgUS6Bgxx1w6FeZ2tCbyZDk=w80-h106-k-no","Delivery","",""
"https://www.google.com/maps/place/Sai+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb98e842041179:0x800ca211232e1e68!8m2!3d17.371608!4d78.541751!16s%2Fg%2F1hhx5nq2y!19sChIJeREEQuiYyzsRaB4uIxGiDIA?authuser=0&hl=en&rclk=1","Sai Pooja Samagri","4.0","(144)","Religious goods store","·","","·","9GCR+JPR, New Nagole Main Rd","Open","⋅ Closes 10 pm","063091 30785","https://lh5.googleusercontent.com/p/AF1QipO_IwtvMnHmTT8Sa5wSYRZK1f2VwqOX03ASJFgT=w122-h92-k-no","Delivery","",""
"https://www.google.com/maps/place/Dhaakshani+All+Pooja+Samagri+Wholesale+%26+Retail,+Hyderabad,+India/data=!4m7!3m6!1s0x3bcb93d731b87971:0xf9b625910f76dcb7!8m2!3d17.4305632!4d78.3329805!16s%2Fg%2F11q1pd_dnn!19sChIJcXm4MdeTyzsRt9x2D5Eltvk?authuser=0&hl=en&rclk=1","Dhaakshani All Pooja Samagri Wholesale & Retail, Hyderabad, India","4.5","(38)","Religious goods store","·","","back gate, My Home Vihanga Rd","","Open 24 hours","","","https://lh5.googleusercontent.com/p/AF1QipPWwFYaEPewUUj-dMgfCquRfeYipZ9N8Jf6lSt1=w122-h92-k-no","Delivery","",""
"https://www.google.com/maps/place/Jai+Bhavani+Pooja+Samagri/data=!4m7!3m6!1s0x3bcba27ecf13606f:0x682ef817e010e05c!8m2!3d17.3324546!4d78.5258931!16s%2Fg%2F11bv1nwzkt!19sChIJb2ATz36iyzsRXOAQ4Bf4Lmg?authuser=0&hl=en&rclk=1","Jai Bhavani Pooja Samagri","4.4","(38)","Religious goods store","·","","H. No. 1-153, Shop No. 2, Opp. Venkateswara Temple, Jillelaguda,","·","Open","⋅ Closes 10 pm","084999 84883","https://lh5.googleusercontent.com/p/AF1QipMfuJkKiyuDKtrH2K2wLwxGFm7F670wqqXqRt4=w122-h92-k-no","""Upto 80% products you get here.""","",""
"https://www.google.com/maps/place/Manikanta+Pooja+Store/data=!4m7!3m6!1s0x3bcba1e7e88616e5:0x42e07053e5636e9a!8m2!3d17.3298512!4d78.5875091!16s%2Fg%2F11f020xnv9!19sChIJ5RaG6OehyzsRmm5j5VNw4EI?authuser=0&hl=en&rclk=1","Manikanta Pooja Store","4.2","(394)","Religious goods store","·","","·","8HHQ+W2R, Rd Number 5","Open","⋅ Closes 10 pm","099491 64321","https://lh5.googleusercontent.com/p/AF1QipMu9yKnIejOT8ugikI2ro5eTcp0LleYX9g8_H86=w122-h92-k-no","Delivery","",""
"https://www.google.com/maps/place/Sri+Yagnaa+Pooja+Samagri+Stores+Krishna+Nagar/data=!4m7!3m6!1s0x3bcb9101e74b7387:0x4d36ad682d6cafe2!8m2!3d17.4305047!4d78.4283026!16s%2Fg%2F11mwspzqcp!19sChIJh3NL5wGRyzsR4q9sLWitNk0?authuser=0&hl=en&rclk=1","Sri Yagnaa Pooja Samagri Stores Krishna Nagar","4.8","(50)","Religious goods store","·","","·","H.No- 8-3-231/F/43/5, Green Bawarchi Line, beside Ganesh Rice Stores","Open","⋅ Closes 10 pm","095023 26964","https://lh5.googleusercontent.com/p/AF1QipPCJ8fkevpXpRIAZEBIxkht_Lz8h8C6qis5iiz7=w88-h92-k-no","In-store shopping","·","Delivery"
"https://www.google.com/maps/place/Sri+Kamadhenu+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb93268db85b03:0xc018c4303fa01870!8m2!3d17.5020173!4d78.3181107!16s%2Fg%2F11p14vc75x!19sChIJA1u4jSaTyzsRcBigPzDEGMA?authuser=0&hl=en&rclk=1","Sri Kamadhenu Pooja Samagri","4.6","(74)","Religious goods store","·","","1, 36/1 8/1, Ameenpur Rd","","Open","⋅ Closes 10 pm","","https://lh5.googleusercontent.com/p/AF1QipM7b9h7lNUCOZTNG0ktpDg8OrQmryQy5zZn4i0W=w199-h92-k-no","""Everything for pooja is available at affordable price""","",""
"https://www.google.com/maps/place/Sri+Sai+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb9a22022cff45:0xa51e1253410569a9!8m2!3d17.435312!4d78.496647!16s%2Fg%2F1vvr4pss!19sChIJRf8sAiKayzsRqWkFQVMSHqU?authuser=0&hl=en&rclk=1","Sri Sai Pooja Samagri","3.9","(348)","Religious goods store","·","","·","7-1-379, Maruthi Veedhi, behind Ragavendra Hotel","Open","⋅ Closes 9 pm","040 2771 1178","https://lh5.googleusercontent.com/p/AF1QipO357RTn3qV3La3BVtv5btt1h8DuYYMyDe9cp-E=w163-h92-k-no","In-store pick-up","·","Delivery"
"https://www.google.com/maps/place/Naresh+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb92916031111b:0xc6ca68c5ccc33145!8m2!3d17.4941994!4d78.3232135!16s%2Fg%2F1pv0cg_3w!19sChIJGxExYJGSyzsRRTHDzMVoysY?authuser=0&hl=en&rclk=1","Naresh Pooja Samagri","4.3","(27)","Religious goods store","·","","Shop No. 4-123, Manjeera Rd, opp. Vicky Function Hall","·","Open","⋅ Closes 9:15 pm","095056 20928","https://lh5.googleusercontent.com/p/AF1QipNE_B39G01y4OiTV-kAovd7mS8jYv86S0alhJ68=w122-h92-k-no","Delivery","",""
"https://www.google.com/maps/place/Trinetra+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb9c794d9926d5:0x64eef0d07b41ceb0!8m2!3d17.4859721!4d78.556225!16s%2Fg%2F11j154pbs3!19sChIJ1SaZTXmcyzsRsM5Be9Dw7mQ?authuser=0&hl=en&rclk=1","Trinetra Pooja Samagri","3.9","(36)","Religious goods store","·","","·","Ecil: 1-19-86/81, Ashok Enclave (Plot No 81 Near Saritha Dental Clinic, Netaji Nagar 'X' Roads Old Kapra Muncipal Office Road, Trimulgherry - ECIL Rd","Open","⋅ Closes 9 pm","090002 82325","https://lh5.googleusercontent.com/p/AF1QipNb_8jc8pJiLRWkrzAYMDw1YoBSGDyrGN6uIFQI=w80-h142-k-no","In-store shopping","·","Kerbside pickup"
"https://www.google.com/maps/place/Pooja+stores/data=!4m7!3m6!1s0x3bcb9a94a9b9616b:0x81b9863250614b98!8m2!3d17.4900287!4d78.4961323!16s%2Fg%2F11clgd4hgt!19sChIJa2G5qZSayzsRmEthUDKGuYE?authuser=0&hl=en&rclk=1","Pooja stores","4.2","(68)","General store","·","","Plot no 125","·","Open","⋅ Closes 9:30 pm","098490 72059","https://lh5.googleusercontent.com/p/AF1QipPlWjUppK0KN366oXSBKaoLriFCr7reGpkros-N=w80-h142-k-no","Delivery","",""
"https://www.google.com/maps/place/Sri+Vijayalaxmi+Pooja+Store/data=!4m7!3m6!1s0x3bcb9520ee845dcd:0xc4857be18a2f3e2c!8m2!3d17.3944821!4d78.3743731!16s%2Fg%2F11h00pccvc!19sChIJzV2E7iCVyzsRLD4viuF7hcQ?authuser=0&hl=en&rclk=1","Sri Vijayalaxmi Pooja Store","4.7","(32)","Religious goods store","·","","Neknampur Road Huda, Neknampur","·","Open","⋅ Closes 9 pm","092478 01307","https://lh5.googleusercontent.com/p/AF1QipNggDT_FtJGK1Ms7QG5fVtB5VoSU6rRdL60GUjo=w80-h106-k-no","In-store shopping","·","Delivery"
"https://www.google.com/maps/place/Online+poojan+samagri+Store/data=!4m7!3m6!1s0x3bcb979a01696401:0x15d2831890cb79dc!8m2!3d17.3740083!4d78.4682581!16s%2Fg%2F11gtymmqs7!19sChIJAWRpAZqXyzsR3HnLkBiD0hU?authuser=0&hl=en&rclk=1","Online poojan samagri Store","4.5","(13)","Religious goods store","·","","14-4-27","","Open","⋅ Closes 6 pm","","https://lh5.googleusercontent.com/p/AF1QipODbsdym3n-m9MrzJUz4WN7GTHGGKCfOX-CT3Sl=w89-h92-k-no","Delivery","",""
"https://www.google.com/maps/place/Sri+vaishnavi+pooja+stores/data=!4m7!3m6!1s0x3bcb8f40e822b779:0xa65e4089f0acaf4!8m2!3d17.5432988!4d78.4382901!16s%2Fg%2F11kmyhx794!19sChIJebci6ECPyzsR9MoKnwjkZQo?authuser=0&hl=en&rclk=1","Sri vaishnavi pooja stores","4.8","(8)","Religious goods store","·","","H.no 5-311/1, plot no. 460 2nd om janda","·","Open","⋅ Closes 10 pm","099922 29526","https://lh5.googleusercontent.com/p/AF1QipP52maGUgjOsNMLcvU-sxtIguMqze-2q5hwoqpN=w198-h92-k-no","Delivery","",""
